mmm_yy,week_no
2022-04-01,14
2022-04-01,15
2022-04-01,15
2022-04-01,15
2022-04-01,15
2022-04-01,15
2022-04-01,15
2022-04-01,15
2022-04-01,16
2022-04-01,16
2022-04-01,16
2022-04-01,16
2022-04-01,16
2022-04-01,16
2022-04-01,16
2022-04-01,14
2022-04-01,17
2022-04-01,17
2022-04-01,17
2022-04-01,17
2022-04-01,17
2022-04-01,17
2022-04-01,17
2022-04-01,18
2022-04-01,18
2022-04-01,18
2022-04-01,18
2022-04-01,18
2022-04-01,18
2022-04-01,18
2022-08-01,34
2022-08-01,32
2022-08-01,32
2022-08-01,32
2022-08-01,32
2022-08-01,32
2022-08-01,32
2022-08-01,33
2022-08-01,33
2022-08-01,33
2022-08-01,33
2022-08-01,33
2022-08-01,33
2022-08-01,33
2022-08-01,34
2022-08-01,34
2022-08-01,34
2022-08-01,34
2022-08-01,34
2022-08-01,34
2022-08-01,35
2022-08-01,35
2022-08-01,35
2022-08-01,35
2022-08-01,35
2022-08-01,35
2022-08-01,35
2022-08-01,36
2022-08-01,36
2022-08-01,36
2022-07-01,29
2022-07-01,27
2022-07-01,28
2022-07-01,28
2022-07-01,28
2022-07-01,28
2022-07-01,28
2022-07-01,28
2022-07-01,28
2022-07-01,29
2022-07-01,29
2022-07-01,29
2022-07-01,29
2022-07-01,29
2022-07-01,29
2022-07-01,27
2022-07-01,30
2022-07-01,30
2022-07-01,30
2022-07-01,30
2022-07-01,30
2022-07-01,30
2022-07-01,30
2022-07-01,31
2022-07-01,31
2022-07-01,31
2022-07-01,31
2022-07-01,31
2022-07-01,31
2022-07-01,31
2022-07-01,32
2022-06-01,23
2022-06-01,23
2022-06-01,23
2022-06-01,23
2022-06-01,24
2022-06-01,24
2022-06-01,24
2022-06-01,24
2022-06-01,24
2022-06-01,24
2022-06-01,24
2022-06-01,25
2022-06-01,25
2022-06-01,25
2022-06-01,25
2022-06-01,25
2022-06-01,25
2022-06-01,25
2022-06-01,26
2022-06-01,26
2022-06-01,26
2022-06-01,26
2022-06-01,26
2022-06-01,26
2022-06-01,26
2022-06-01,27
2022-06-01,27
2022-06-01,27
2022-06-01,27
2022-06-01,27
2022-03-01,12
2022-03-01,10
2022-03-01,10
2022-03-01,10
2022-03-01,10
2022-03-01,11
2022-03-01,11
2022-03-01,11
2022-03-01,11
2022-03-01,11
2022-03-01,11
2022-03-01,11
2022-03-01,12
2022-03-01,12
2022-03-01,12
2022-03-01,10
2022-03-01,12
2022-03-01,12
2022-03-01,12
2022-03-01,13
2022-03-01,13
2022-03-01,13
2022-03-01,13
2022-03-01,13
2022-03-01,13
2022-03-01,13
2022-03-01,14
2022-03-01,14
2022-03-01,14
2022-03-01,14
2022-03-01,14
2022-05-01,19
2022-05-01,19
2022-05-01,19
2022-05-01,19
2022-05-01,19
2022-05-01,19
2022-05-01,19
2022-05-01,20
2022-05-01,20
2022-05-01,20
2022-05-01,20
2022-05-01,20
2022-05-01,20
2022-05-01,20
2022-05-01,21
2022-05-01,21
2022-05-01,21
2022-05-01,21
2022-05-01,21
2022-05-01,21
2022-05-01,21
2022-05-01,22
2022-05-01,22
2022-05-01,22
2022-05-01,22
2022-05-01,22
2022-05-01,22
2022-05-01,22
2022-05-01,23
2022-05-01,23
2022-05-01,23
